Domain,IP,User Name,Email,Start Date,Disk Partition,Quota,Disk Space Used,Package,Theme,Owner,Server,Unix Startdate,Disk Space Used (bytes),Quota (bytes),Is Suspended, Suspension Date, Suspension Locked, Suspension Reason, Upgrade Opportunities
101veiculos.com.br,162.214.206.251,brcom101veiculos,assistencia@litoralcar.com.br,2021-01-14 17:14,home,3500,1760,crici470_5GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1610655274,1802459,3584000,,,,,
a7motors.com.br,162.214.206.251,amoto848,assistencia@litoralcar.com.br,2022-01-11 16:25,home,500,54,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1641929157,56165,512000,,,,,
abveiculossc.com.br,162.214.206.251,abvei546,assistencia@litoralcar.com.br,2021-03-12 08:04,home,250,188,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1615547070,192825,256000,,,,,This account has used 75% of its disk quota.
adautomoveis.com.br,162.214.206.251,adaut224,assistencia@litoralcar.com.br,2021-04-08 11:36,home,1000,378,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1617892596,387658,1024000,,,,,
affarimotors.com.br,162.214.206.251,affarimotorscom,assistencia@litoralcar.com.br,2021-02-01 14:38,home,1000,766,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1612201131,784990,1024000,,,,,This account has used 77% of its disk quota.
alcantaramultimarcas.com.br,162.214.206.251,alcan732,assistencia@litoralcar.com.br,2022-10-26 11:40,home,500,51,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1666795255,52861,512000,,,,,
alfamotorscamboriu.com.br,162.214.206.251,alfam557,assistencia@litoralcar.com.br,2022-09-13 08:29,home,500,40,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1663068545,41487,512000,,,,,
amgmultimarcas.com.br,162.214.206.251,amgmu432,assistencia@litoralcar.com.br,2020-06-16 13:48,home,250,69,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1592326138,71004,256000,,,,,
apisiteslitoralcar.com.br,162.214.206.251,apisiteslitoralc,,2023-04-19 08:17,home,unlimited,86,default,jupiter,root,dedi-10414352.criciumaautos.com.br,1681903044,88361,,,,,,
attoveiculos.com.br,162.214.206.251,attov342,assistencia@litoralcar.com.br,2022-10-11 13:59,home,500,40,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1665507580,41864,512000,,,,,
autobrazveiculos.com.br,162.214.206.251,autob118,assistencia@litoralcar.com.br,2022-08-22 11:13,home,500,89,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1661177621,91430,512000,1,2023-10-19 14:47,,Financeiro,
autoclassitajai.com.br,162.214.206.251,autoclas,assistencia@litoralcar.com.br,2014-09-12 16:26,home,200,78,undefined,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1410550003,80606,204800,,,,,
autofacilmultimarcas.com,162.214.206.251,autofacilmultima,registro@litoralcar.com.br,2021-04-20 09:05,home,2000,1017,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1618920352,1041594,2048000,,,,,
automaisjlle.com.br,162.214.206.251,autom613,assistencia@litoralcar.com.br,2021-09-28 08:43,home,500,324,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1632829388,332482,512000,,,,,
automoveisprime.com.br,162.214.206.251,automoveisprimec,assistencia@litoralcar.com.br,2021-02-02 17:16,home,500,41,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1612296960,42119,512000,,,,,
autoprimejlle.com.br,162.214.206.251,autop762,assistencia@litoralcar.com.br,2022-12-09 17:29,home,500,50,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1670617741,51655,512000,,,,,
autoprimemulti.com.br,162.214.206.251,icaraautoprime,assistencia@litoralcar.com.br,2021-07-21 08:58,home,500,49,crici470_500MB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1626868684,51188,512000,,,,,This account exceeded its bandwidth quota last month.
autosalesmultimarcas.com.br,162.214.206.251,autosalesmultima,assistencia@litoralcar.com.br,2021-01-29 11:17,home,1200,495,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1611929869,507427,1228800,,,,,
autoscriciuma.com.br,162.214.206.251,autoscri,assistencia@litoralcar.com.br,2014-03-26 08:12,home,50,25,undefined,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1395832350,25656,51200,,,,,
autosprotte.com.br,162.214.206.251,autos108,assistencia@litoralcar.com.br,2023-02-10 16:32,home,1000,66,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1676057568,68489,1024000,,,,,This account used 81% of its bandwidth quota last month.
